HUMIDITY,       PH,     RAIN,TEMPARATURE,        N,        P,        K
5,0,0,31.36,0,18,4
5,0.01,20000,31.85,0,23,2
4,0,1023,31.85,0,20,31
5,0,1023,31.85,0,19,32
4,0,1023,31.36,0,21,29
4,0,1023,31.85,0,21,28
6,0,1023,31.85,0,20,32
4,0.01,1023,31.85,0,2118,30
2,0,1023,31.85,0,19,30
3,0,1023,31.36,0,14,28
5,0,1023,31.36,0,18,31
2,0,1023,31.36,0,14,28
4,0,1023,31.36,0,17,31
4,0,1023,31.85,0,19,27
4,0,1023,31.85,0,18,30
5,0,1023,31.36,0,17,31
4,0,1023,31.36,0,16,31
4,0,1023,31.85,0,18,31
4,0,1023,31.85,0,19,30
4,0,1023,31.36,0,20,30
4,0,1023,31.85,0,21,29
4,0.01,1023,31.85,0,17,29
5,0,1023,31.85,0,19,30
7,0.01,1023,31.36,0,19,30
5,0,1023,31.85,0,19,31
5,0,1023,31.85,0,18,32
5,0,1023,31.85,0,25,30
3,0,1023,31.85,0,18,30
4,0,1023,31.36,0,19,31
4,0.01,1023,31.36,0,19,30
4,0,1023,30.87,0,19,31
4,0,1023,30.87,0,20,31
4,0,1023,31.36,0,20,30
4,0,1023,31.36,0,20,32
6,0,1023,31.36,0,18,31
4,0,1023,30.87,0,21,32
4,0,1023,31.36,0,18,29
3,0,1023,31.36,0,20,28
4,0,1023,31.85,0,15,32
5,0,1023,30.38,0,19,30
4,0,1023,30.87,0,16,30
5,0,1023,31.85,0,17,228
6,0,1023,31.85,0,22,28
5,0,1023,31.36,0,18,27
4,0,1023,32.83,0,19,27
4,0,1023,31.85,0,16,28
4,0,1023,31.36,0,20,28
3,0,1023,31.36,0,19,28
4,0,1023,31.36,0,18,27
1,0,1023,31.36,0,18,27
7,0,1023,31.36,0,20,27
5,0,1023,31.36,0,19,27
4,0,1023,31.36,0,21,27
4,0,1023,31.36,0,19,28
4,0,1023,31.36,0,20,27
5,0.01,1023,30.87,0,21,26
4,0,1023,31.36,0,19,24
4,0.01,1023,31.36,0,19,34
3,0,1023,31.36,0,20,29
5,0,1023,31.36,0,20,31
7,0,1023,31.85,0,20,31
4,0.01,1023,31.36,0,20,30
5,0,1023,31.36,0,20,30
5,0,1023,30.87,0,19,30
4,0,1023,31.36,0,24,34
6,0,1023,31.85,0,19,30
6,0,1023,31.36,0,19,28
4,0.02,1023,31.36,0,24,29
5,0,1023,31.36,0,19,29
4,0,1023,31.85,0,19,29
5,0,1023,31.36,0,19,30
3,0,1023,31.36,0,21,28
5,0,1023,31.36,0,19,30
5,0,1023,30.38,0,20,30
3,0,1023,32.34,0,20,29
5,0,1023,31.36,0,18,30
4,0,1023,31.36,0,19,30
4,0.02,1023,31.36,0,20,29
4,0,1023,31.36,0,20,26
4,0,1023,31.36,0,15,29
4,0,1023,31.36,0,24,29
6,0,1023,31.36,0,21,29
4,0.02,1023,31.36,0,20,28
3,0,1023,31.36,0,23,29
4,0,1023,31.36,0,19,29
5,0,1023,31.36,0,20,29
4,0,1023,31.36,0,14,30
